,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
1524,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 419,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+14,Parties communes palier ascenseur,,Opérationnel,Validé
1523,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 427,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+22,Parties communes palier ascenseur,,Opérationnel,Validé
1519,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 411,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+6,Parties communes palier ascenseur,,Opérationnel,Validé
1514,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 426,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+21,Parties communes palier ascenseur,,Opérationnel,Validé
1531,MANIPULATION VANNES ET CONTRÔLE ETANCHEITE,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 407,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",N+2,Parties communes palier ascenseur,,Opérationnel,Validé
929,P.A.C.,,GROUPE FRIGORIFIQUE EG,PARAD ADELF 046,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT,,Opérationnel,Validé
930,P.A.C.,,GROUPE FRIGORIFIQUE EG,PARAD ADELF 028,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
937,P.A.C.,,GROUPE FRIGORIFIQUE EG,PARAD ADELF 006,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
939,P.A.C.,,GROUPE FRIGORIFIQUE EG,PARAD ADELF 063,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
962,POMPE BOUCLAGE ECS,,POMPES_CIRCULATEURS,PARAD ADELF 033,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1032,POMPE BOUCLAGE ECS,,POMPES_CIRCULATEURS,PARAD ADELF 090,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,LT CHAUFFERIE RDJ,,Opérationnel,Validé
1034,POMPE BOUCLAGE ECS,,POMPES_CIRCULATEURS,PARAD ADELF 260,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT,,Opérationnel,Validé
1063,POMPE BOUCLAGE ECS,,POMPES_CIRCULATEURS,PARAD ADELF 047,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT S1,,Opérationnel,Validé
1047,POMPE BOUCLAGE ECS,,POMPES_CIRCULATEURS,PARAD ADELF 066,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
971,POMPE GEOTHERMIE,,POMPES_CIRCULATEURS,PARAD ADELF 049,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT S1,,Opérationnel,Validé
1244,POMPE GEOTHERMIE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 035,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
989,POMPE GEOTHERMIE,,POMPES_CIRCULATEURS,PARAD ADELF 068,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
1019,POMPE GEOTHERMIE,,POMPES_CIRCULATEURS,PARAD ADELF 012,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1381,POMPE INJECTION ACIDE 01 BASSIN INITIATION LT2,,EQUIPEMENTS TECHNIQUES PISCINE SLII,SLII 505,,,,SLII ESA,Bâtiment Émeraude,"53 Impasse des Lilas, 10791 Nice",NIV100,LT2,,Opérationnel,Validé
1369,POMPE INJECTION ACIDE 01 BASSIN INITIATION LT2,,EQUIPEMENTS TECHNIQUES PISCINE SLII,SLII 501,,,,SLII ESA,Bâtiment Émeraude,"53 Impasse des Lilas, 10791 Nice",NIV100,LT2,,Opérationnel,Validé
1379,POMPE INJECTION ACIDE 01 FOSSE A PLONGEON LT2,,EQUIPEMENTS TECHNIQUES PISCINE SLII,SLII 504,,,,SLII ESA,Bâtiment Émeraude,"53 Impasse des Lilas, 10791 Nice",NIV100,LT2,,Opérationnel,Validé
1359,POMPE INJECTION ACIDE 01 FOSSE A PLONGEON LT2,,EQUIPEMENTS TECHNIQUES PISCINE SLII,SLII 500,,,,SLII ESA,Bâtiment Émeraude,"53 Impasse des Lilas, 10791 Nice",NIV100,LT2,,Opérationnel,Validé
2097,POMPE INJECTION PRODUIT ARMOTAIQUE,,HAMMAM,PARAD ADELF 106,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,HAMMAM SDB ETAGE,,Opérationnel,Validé
1041,POMPE INJECTION PRODUIT ARMOTAIQUE,,POMPES_CIRCULATEURS,PARAD ADELF 116,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Piscine intérieure,LT piscine,,Opérationnel,Validé
980,POMPE PLANCHER CHAUFFANT,,POMPES_CIRCULATEURS,PARAD ADELF 048,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT S1,,Opérationnel,Validé
961,POMPE PLANCHER CHAUFFANT,,POMPES_CIRCULATEURS,PARAD ADELF 034,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1052,POMPE PLANCHER CHAUFFANT,,POMPES_CIRCULATEURS,PARAD ADELF 067,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
1060,POMPE PLANCHER CHAUFFANT,,POMPES_CIRCULATEURS,PARAD ADELF 011,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1064,POMPES DE RELEVAGE EU/EV,,POMPES_CIRCULATEURS,PARAD ADELF 024,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1025,POMPES DE RELEVAGE EU/EV,,POMPES_CIRCULATEURS,PARAD ADELF 002,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1024,POMPES DE RELEVAGE V.S.,,POMPES_CIRCULATEURS,PARAD ADELF 023,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,V.S RANGEMENT ,,Opérationnel,Validé
967,POMPES DE RELEVAGE V.S.,,POMPES_CIRCULATEURS,PARAD ADELF 059,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,V.S. SOUS ESCALIER ,,Opérationnel,Validé
1888,PRODUCTION ECS solaire,,PLOMBERIE,PARAD ADELF 004,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1877,PRODUCTION ECS solaire,,PLOMBERIE,PARAD ADELF 026,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1847,PRODUCTION ECS électrique,,PLOMBERIE,PARAD ADELF 027,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
2133,PRODUCTION ECS électrique,,PRODUCTION ECS,PARAD ADELF 005,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1853,PRODUCTION ECS électrique,,PLOMBERIE,PARAD ADELF 045,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT,,Opérationnel,Validé
1863,PRODUCTION ECS électrique,,PLOMBERIE,PARAD ADELF 062,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
1879,ROBINETTERIE ET VANNES LT,,PLOMBERIE,PARAD ADELF 134,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,LT CHAUFFERIE RDJ,,Opérationnel,Validé
1865,ROBINETTERIE ET VANNES LT,,PLOMBERIE,PARAD ADELFA 254,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,,,Opérationnel,Validé
1859,TRAITEMENT D?EAU,,PLOMBERIE,PARAD ADELF 003,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1864,TRAITEMENT D?EAU,,PLOMBERIE,PARAD ADELF 025,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1151,UNITE CLIM REVERSIBLE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 111,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,RDC CHAMBRE 6,,Opérationnel,Validé
1230,UNITE CLIM REVERSIBLE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 112,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,ETAGE SALON TV,,Opérationnel,Validé
1214,UNITE CLIM REVERSIBLE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 110,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,RDC CHAMBRE 4,,Opérationnel,Validé
1298,UNITE CLIM REVERSIBLE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 109,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,RDC GD SALON,,Opérationnel,Validé
1302,VANNES ET ROBINETTERIE EN LOCAL TECHNIQUE,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 014,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1881,VANNES ET ROBINETTERIE EN LOCAL TECHNIQUE,,PLOMBERIE,PARAD ADELF 037,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1136,VASE EXPANSION,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 036,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1142,VASE EXPANSION,,CLIMATISATION VENTILO CONVECTEUR,PARAD ADELF 013,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1878,VASE EXPANSION,,PLOMBERIE,PARAD ADELF 092,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa principale,LT CHAUFFERIE RDJ,,Opérationnel,Validé
21,VASE EXPANSION,,MAINTIEN DE PRESSION,PARAD ADELF 080,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,RDC ,,Opérationnel,Validé
1873,VASE EXPANSION,,PLOMBERIE,PARAD ADELF 251,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT S1,,Opérationnel,Validé
