,Nom,Famille,Type,ID équipement,Référence constructeur,Date d'installation,Notes,Secteur,Bâtiment,Adresse,Niveau,Salle,Cage d'escalier,Opérationnel/HS,Validation
755,C1-29-4 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 210,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",,,,Opérationnel,Validé
2024,C1-29-5(3P),,WC TOTO,Columbia 077,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
168,C1-29-5(3P),,CLIMATISATION DETENTE DIRECTE,Columbia 076,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
298,C1-30-1 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 078,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",30,,,Opérationnel,Validé
1950,C1-30-1 (3P),,WC TOTO,Columbia 079,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",30,,,Opérationnel,Validé
268,C1-31-5 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 081,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",31,,,Opérationnel,Validé
1966,C1-31-5 (3P),,WC TOTO,Columbia 131,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",,,,Opérationnel,Validé
1982,C1-32-5 (3P),,WC TOTO,Columbia 084,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",32,,,Opérationnel,Validé
680,C1-32-5 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 083,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",32,,,Opérationnel,Validé
1962,C1-8-4 (3P),,WC TOTO,Columbia 201,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",8,,,Opérationnel,Validé
107,C1-8-4 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 200,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",8,,,Opérationnel,Validé
173,C1/2-1(8P)HP_C1 1 3(1P)CP,,CLIMATISATION DETENTE DIRECTE,Houston 036,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
2094,C1/2-1(8P)HP_C1 1 3(1P)CP,,HAMMAM,Houston 037,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
1917,C1/2-1(8P)HP_C1 1 3(1P)CP,,CHAUFFE EAU CUISINE ETE,Houston 038,,,,CIP MPG,Bâtiment Saphir,"61 Avenue des Lilas, 42241 Metz",1,,,Opérationnel,Validé
778,C2-04-1 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 090,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",4,,,Opérationnel,Validé
2008,C2-04-1 (4P),,WC TOTO,Columbia 091,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",4,,,Opérationnel,Validé
775,C2-10-1 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 095,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",10,,,Opérationnel,Validé
1980,C2-10-1 (4P),,WC TOTO,Columbia 096,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",10,,,Opérationnel,Validé
418,C2-12-3 (2P),,CLIMATISATION DETENTE DIRECTE,Columbia 097,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",12,,,Opérationnel,Validé
1952,C2-12-3 (2P),,WC TOTO,Columbia 098,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",12,,,Opérationnel,Validé
598,C2-13-3 (2P),,CLIMATISATION DETENTE DIRECTE,Columbia 099,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",13,,,Opérationnel,Validé
1990,C2-13-3 (2P),,WC TOTO,Columbia 100,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",13,,,Opérationnel,Validé
655,C2-16-2 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 104,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",16,,,Opérationnel,Validé
2003,C2-16-2 (3P),,WC TOTO,Columbia 105,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",16,,,Opérationnel,Validé
2013,C2-20-2 (3P),,WC TOTO,Columbia 112,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",20,,,Opérationnel,Validé
760,C2-20-2 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 111,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",20,,,Opérationnel,Validé
586,C2-21-1 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 113,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
1957,C2-21-1 (4P),,WC TOTO,Columbia 114,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",21,,,Opérationnel,Validé
490,C2-22-2 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 117,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",22,,,Opérationnel,Validé
1972,C2-22-2 (3P),,WC TOTO,Columbia 116,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",22,,,Opérationnel,Validé
1954,C2-27-1 (4P),,WC TOTO,Columbia 133,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",8,,,Opérationnel,Validé
725,C2-27-1 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 123,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",27,,,Opérationnel,Validé
1999,C2-29-1 (4P),,WC TOTO,Columbia 125,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
509,C2-29-1 (4P),,CLIMATISATION DETENTE DIRECTE,Columbia 124,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
620,C2-29-2 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 126,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
1974,C2-29-2 (3P),,WC TOTO,Columbia 127,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
1943,C2-29-4 (3P),,WC TOTO,Columbia 129,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
89,C2-29-4 (3P),,CLIMATISATION DETENTE DIRECTE,Columbia 128,,,,CIP MPG,Bâtiment Montesquieu,"130 Impasse des Lilas, 46132 Marseille",29,,,Opérationnel,Validé
2202,CENTRALE DOUBLE FLUX,,CTA,PARAD ADELF 043,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,RDC ,,Opérationnel,Validé
2213,CENTRALE DOUBLE FLUX,,CTA,PARAD ADELF 078,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,RDC ,,Opérationnel,Validé
2251,CENTRALE DOUBLE FLUX,,CTA,PARAD ADELF 065,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",PCBC,LT RDJ ,,Opérationnel,Validé
746,CLIM CH N°1,,CLIMATISATION DETENTE DIRECTE,FELIX,,,,HDCER,Bâtiment Pôle Innovation,"1 Chemin de la Liberté, 72527 Bordeaux",,,,Opérationnel,Validé
236,CLIM CH N°1,,CLIMATISATION DETENTE DIRECTE,FELIX 21,,,,HDCER,Bâtiment Pôle Innovation,"1 Chemin de la Liberté, 72527 Bordeaux",,,,Opérationnel,Validé
124,CLIM PREPARATION FROIDE,,CLIMATISATION DETENTE DIRECTE,HDC 407,,,,HDCER,Bâtiment Génération,"1 Chemin de la Liberté, 72527 Bordeaux",rdj,,,Opérationnel,Validé
691,CLIM PREPARATION FROIDE,,CLIMATISATION DETENTE DIRECTE,EDR 0034,,,,HDCER,Bâtiment Logisphère,"1 Chemin de la Liberté, 72527 Bordeaux",Toiture technique 1,,,Opérationnel,Validé
508,CLIM SALON DE COIFFURE,,CLIMATISATION DETENTE DIRECTE,EDR 0127,,,,HDCER,Bâtiment Logisphère,"1 Chemin de la Liberté, 72527 Bordeaux",,Salon de coiffure,,Opérationnel,Validé
92,CLIM SALON DE COIFFURE,,CLIMATISATION DETENTE DIRECTE,WCFC 0029,DAIKIN,,,WORLD CLASS FITNESS CLUB,Bâtiment Voltaire,"188 Avenue de la Paix, 62642 Paris",,,,Opérationnel,Validé
1502,COMPTNRJ CHAUD VC HALL SS01,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 380,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",,,,Opérationnel,Validé
1505,COMPTNRJ CHAUD VC HALL SS01,,COMPTEURS_MANIP VANNES_GTB_EXPLOITATION,Mona 398,,,,CIP MPG,Bâtiment Horizon,"71 Avenue des Lilas, 57883 Marseille",,,,Opérationnel,Validé
2211,CTA SALON RDC,,CTA,PARAD ADELF 030,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
2193,CTA SALON RDC,,CTA,PARAD ADELF 008,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa A,LT S1,,Opérationnel,Validé
1868,DISCONNECTEUR,,PLOMBERIE,PARAD ADELF 122,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",LT EF,LT piscine,,Opérationnel,Validé
1905,DISCONNECTEUR,,PLOMBERIE,PARAD ADELF 016,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",Villa B,LT S1,,Opérationnel,Validé
1852,DISCONNECTEUR,,PLOMBERIE,PARAD ADELF 250,,,,CIP MPG,Bâtiment Le Belvédère,"164 Impasse de la Paix, 13386 Marseille",MEPH,LT S1,,Opérationnel,Validé
