Nom;Famille;Type;ID équipement;Référence constructeur;Date d'installation;Notes;Secteur;Bâtiment;Adresse;Niveau;Salle;Cage d'escalier;Opérationnel/HS;Validation
CLIM CH 106;;CLIMATISATION DETENTE DIRECTE;2F 015;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 67 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 103;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C1-25-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 060;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;25;;;Opérationnel;Validé
BUREAUX C N+1 (7P);;CLIMATISATION DETENTE DIRECTE;Europa 045;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;1;;;Opérationnel;Validé
CAVE A VIN EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0009;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Galerie tech cusine;;Opérationnel;Validé
C1-01-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 002;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;1;;;Opérationnel;Validé
C2-12-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 097;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;12;;;Opérationnel;Validé
GROUPE CLIM BUREAU DU CHEF;;CLIMATISATION DETENTE DIRECTE;ER 456;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Toiture technique 1;;;Opérationnel;Validé
CLIM CH 2 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 051;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM BAIE INFO -1;;CLIMATISATION DETENTE DIRECTE;HDC 750;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM COULOIR ASCENSEUR CLIENT GAUCHE;;CLIMATISATION DETENTE DIRECTE;HDC 502;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM LOCAL INFO N-1;;CLIMATISATION DETENTE DIRECTE;ER 513;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
CLIM 2 COULOIR FACE CH 97;;CLIMATISATION DETENTE DIRECTE;HDC 501;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
B-12-2 (2P);;CLIMATISATION DETENTE DIRECTE;Houston 034;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;12;;;Opérationnel;Validé
CLIM CABANE DIOR MASSAGE;;CLIMATISATION DETENTE DIRECTE;DIVERS 004;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C1-04-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 008;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;4;;;Opérationnel;Validé
A-9-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 007;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;9;;;Opérationnel;Validé
ARM ELECT WELNESS;;CLIMATISATION DETENTE DIRECTE;DIVERS 021;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV III GF 07 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 010;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM FITNESS;;CLIMATISATION DETENTE DIRECTE;DIVERS 015;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 125 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 033;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
VRV GF5 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0076;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
C-15-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 058;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;15;;;Opérationnel;Validé
CLIM RESTAURANT SALLE2;;CLIMATISATION DETENTE DIRECTE;EDR 0119;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Restaurant;;Opérationnel;Validé
CLIM OFFICE réserve 1er ;;CLIMATISATION DETENTE DIRECTE;HDC 402;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
C-15-1 (6P+);;CLIMATISATION DETENTE DIRECTE;Houston 049;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;15;;;Opérationnel;Validé
CLIM N°1 BOULANGERIE;;CLIMATISATION DETENTE DIRECTE;ER 654;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
VRV III GF 11 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 014;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM HALL 2 ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 011;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
VRV GF2 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0073;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
B-6-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 021;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;6;;;Opérationnel;Validé
CLIM CH N°5;;CLIMATISATION DETENTE DIRECTE;FELIX 25;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM SELF PERSONNEL N+1;;CLIMATISATION DETENTE DIRECTE;EDR 0100;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C-06-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 051;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;6;;;Opérationnel;Validé
CLIM CH 42 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 092;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 643;;CLIMATISATION DETENTE DIRECTE;EDR 0141;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
B-14-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 033;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;14;;;Opérationnel;Validé
CLIM CH 2 ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 010;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 25 lit HDC;;CLIMATISATION DETENTE DIRECTE;HDC 085;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 302;;CLIMATISATION DETENTE DIRECTE;2F 031;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM BUREAU N+1 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0095;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 318;;CLIMATISATION DETENTE DIRECTE;2F 046;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 107;;CLIMATISATION DETENTE DIRECTE;2F 016;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM OFFICE N+2 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0109;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
VRV 3;;CLIMATISATION DETENTE DIRECTE;WCFC 0041;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM BUREAU responsable evenementielle HDC;;CLIMATISATION DETENTE DIRECTE;HDC 075;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
GROUPE VRV 01 CEDRES;;CLIMATISATION DETENTE DIRECTE;CEDRES 008;;;;HDCER;Bâtiment Les Alizés;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM  SALLE DE SOIN 2;;CLIMATISATION DETENTE DIRECTE;EDR 0126;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Salon de coiffure;;Opérationnel;Validé
CLIM CH 124 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 032;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM RESTAURANT SALLE3;;CLIMATISATION DETENTE DIRECTE;EDR 0120;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Restaurant;;Opérationnel;Validé
CLIM CH 75 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 113;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 105;;CLIMATISATION DETENTE DIRECTE;2F 014;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-19-4 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 048;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;19;;;Opérationnel;Validé
MONOSPLIT BUANDERIE;;CLIMATISATION DETENTE DIRECTE;2F 089;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;Terrasse du personnel;;;Opérationnel;Validé
CLIM VESTIAIRE Femme HDC;;CLIMATISATION DETENTE DIRECTE;HDC 137;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM CH 214;;CLIMATISATION DETENTE DIRECTE;2F 223;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM COULOIR en face ch 649 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0094;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM VIVIER;;CLIMATISATION DETENTE DIRECTE;EDR 0117;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Cuisine;;Opérationnel;Validé
VRV GF B HALL ENTREE OFFICE;;CLIMATISATION DETENTE DIRECTE;EDR 0071;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;Jardin;;;Opérationnel;Validé
CLIM LOCAL SONO RESTAURANT;;CLIMATISATION DETENTE DIRECTE;EDR 0154;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Local sono restaurant;;Opérationnel;Validé
A-16-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 013;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;16;;;Opérationnel;Validé
CLIM CH 63-2 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 120;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM PATISSERIE N°2;;CLIMATISATION DETENTE DIRECTE;ER 629;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-8-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 029;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;8;;;Opérationnel;Validé
A-17-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 015;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;17;;;Opérationnel;Validé
CLIM SALON MASSAGE;;CLIMATISATION DETENTE DIRECTE;WCFC 0026;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
C2-24-4 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 121;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;24;;;Opérationnel;Validé
CLIM bureau room service EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0098;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
CLIM 2 ZONE CAFE;;CLIMATISATION DETENTE DIRECTE;WCFC 0035;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
B-7-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 026;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;7;;;Opérationnel;Validé
CLIM BUREAU RSE;;CLIMATISATION DETENTE DIRECTE;2F 315;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
A-12-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 009;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;12;;;Opérationnel;Validé
CLIM 03 OLGA;;CLIMATISATION DETENTE DIRECTE;OLGA 007;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM COULOIR N+1;;CLIMATISATION DETENTE DIRECTE;2F 305;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM machinerie ascenseur HDC;;CLIMATISATION DETENTE DIRECTE;HDC 155;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;Parking;;Opérationnel;Validé
CLIM REPASSERIE 1;;CLIMATISATION DETENTE DIRECTE;2F 065;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;Zone technique;;Opérationnel;Validé
CLIM CH 210;;CLIMATISATION DETENTE DIRECTE;2F 219;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 218;;CLIMATISATION DETENTE DIRECTE;2F 227;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
C2-22-2 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 117;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;22;;;Opérationnel;Validé
A-15-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 011;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;15;;;Opérationnel;Validé
CLIM  ANNEXE SAUNA M-01-02;;CLIMATISATION DETENTE DIRECTE;MONA 500;;;;CIP MPG;Bâtiment Horizon;71 Avenue des Lilas, 57883 Marseille;N+1;;;Opérationnel;Validé
B-5-2 (2P);;CLIMATISATION DETENTE DIRECTE;Houston 030;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;5;;;Opérationnel;Validé
CLIM CH 622;;CLIMATISATION DETENTE DIRECTE;EDR 0105;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM COULOIR RESERVE MATELAS;;CLIMATISATION DETENTE DIRECTE;HDC 601;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
GROUPE CLIM VESTIAIRES FEMMES PERSONNEL PARKING;;CLIMATISATION DETENTE DIRECTE;2F 700;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM OFFICE 3 HDC vestiaire hommes ;;CLIMATISATION DETENTE DIRECTE;HDC 058;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM LABO CHOCOLAT;;CLIMATISATION DETENTE DIRECTE;ER 502;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;-1;;;Opérationnel;Validé
CLIM CH 225;;CLIMATISATION DETENTE DIRECTE;2F 234;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 316;;CLIMATISATION DETENTE DIRECTE;2F 044;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 648;;CLIMATISATION DETENTE DIRECTE;EDR 0147;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 128 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 042;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM OFFICE DROITE 06HDC;;CLIMATISATION DETENTE DIRECTE;HDC 123;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM VESTIAIRES HOMMES BAIN DE MER;;CLIMATISATION DETENTE DIRECTE;ER 804;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 219;;CLIMATISATION DETENTE DIRECTE;2F 228;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM BUREAU 10 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 138;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C-16 (6P);;CLIMATISATION DETENTE DIRECTE;Houston 051;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;16;;;Opérationnel;Validé
CLIM SALON DE COIFFURE;;CLIMATISATION DETENTE DIRECTE;EDR 0127;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;Salon de coiffure;;Opérationnel;Validé
C2-29-1 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 124;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;29;;;Opérationnel;Validé
CLIM BUREAU responsable reception HDC;;CLIMATISATION DETENTE DIRECTE;HDC 073;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;Mezzanine;;;Opérationnel;Validé
C1-07-3 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 012;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;7;;;Opérationnel;Validé
CLIM CH 326;;CLIMATISATION DETENTE DIRECTE;2F 054;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM CH 103 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 130;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
CLIM BUREAU JUSTINE;;CLIMATISATION DETENTE DIRECTE;HDC 580;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
C1-18-2 (4P);;CLIMATISATION DETENTE DIRECTE;Columbia 041;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;18;;;Opérationnel;Validé
CLIM CH  287;;CLIMATISATION DETENTE DIRECTE;2F 021;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C4-1 (5P);;CLIMATISATION DETENTE DIRECTE;Houston 039;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;4;;;Opérationnel;Validé
CLIM CH N°3;;CLIMATISATION DETENTE DIRECTE;FELIX 23;;;;HDCER;Bâtiment Pôle Innovation;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CUISINE ELEANA;;CLIMATISATION DETENTE DIRECTE;ELEANA 004;;;;HDCER;Bâtiment Concorde;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM OFFICE 02 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 044;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM OFFICE N+1;;CLIMATISATION DETENTE DIRECTE;ER 504;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
C1-00-5 (2P);;CLIMATISATION DETENTE DIRECTE;Columbia 001;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;rdc;;;Opérationnel;Validé
CLIM COULOIR FACE CH 636;;CLIMATISATION DETENTE DIRECTE;ER 510;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
A-12-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 019;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;12;;;Opérationnel;Validé
CLIM CH 647;;CLIMATISATION DETENTE DIRECTE;EDR 0148;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;4;;;Opérationnel;Validé
CLIM CH 80 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 110;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM 08 OLGA;;CLIMATISATION DETENTE DIRECTE;OLGA 012;;;;HDCER;Bâtiment Les Peupliers;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH  285;;CLIMATISATION DETENTE DIRECTE;2F 029;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM CH 184;;CLIMATISATION DETENTE DIRECTE;2F 005;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C-02-2 Bureau;;CLIMATISATION DETENTE DIRECTE;Europa 072;;08/12/2023;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;2;;;Opérationnel;Validé
CLIM CH 122 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 030;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdj;;;Opérationnel;Validé
CLIM HALL BUREAU 3 2 FONT;;CLIMATISATION DETENTE DIRECTE;2F 063;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
C1-16-1 (3P);;CLIMATISATION DETENTE DIRECTE;Columbia 034;;;;CIP MPG;Bâtiment Montesquieu;130 Impasse des Lilas, 46132 Marseille;16;;;Opérationnel;Validé
CLIM CH 53 HDC;;CLIMATISATION DETENTE DIRECTE;HDC 108;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
CLIM VESTIAIRES SPA;;CLIMATISATION DETENTE DIRECTE;DIVERS 050;;;;HDCER;Bâtiment Nova;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM VESTIAIRE PERSONNEL HOMME;;CLIMATISATION DETENTE DIRECTE;WCFC 0020;DAIKIN;;;WORLD CLASS FITNESS CLUB;Bâtiment Voltaire;188 Avenue de la Paix, 62642 Paris;;;;Opérationnel;Validé
CLIM CH 325;;CLIMATISATION DETENTE DIRECTE;2F 053;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;2;;;Opérationnel;Validé
groupe TGBT GAUCHE eden roc ;;CLIMATISATION DETENTE DIRECTE;DIVERS 044;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
A-9-1 (4P);;CLIMATISATION DETENTE DIRECTE;Europa 008;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;9;;;Opérationnel;Validé
CLIM LT CFA ST ANNE ANNEXE;;CLIMATISATION DETENTE DIRECTE;SAINT ANNE 026;;;;HDCER;Bâtiment Le Panorama;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
CLIM CH 183;;CLIMATISATION DETENTE DIRECTE;2F 006;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
CLIM SALON HALL GAUCHE;;CLIMATISATION DETENTE DIRECTE;HDC 504;;;;HDCER;Bâtiment Génération;1 Chemin de la Liberté, 72527 Bordeaux;rdc;;;Opérationnel;Validé
B-6-2 (3P);;CLIMATISATION DETENTE DIRECTE;Europa 022;;;;CIP MPG;Bâtiment Technoparc;152 Boulevard de la Paix, 47534 Marseille;6;;;Opérationnel;Validé
CLIM CH 1 1er etage CEDRES;;CLIMATISATION DETENTE DIRECTE;CEDRES 003;;;;HDCER;Bâtiment Les Alizés;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
CLIM HALL CEDRES;;CLIMATISATION DETENTE DIRECTE;CEDRES 004;;;;HDCER;Bâtiment Les Alizés;1 Chemin de la Liberté, 72527 Bordeaux;1;;;Opérationnel;Validé
A-9-2 (3P);;CLIMATISATION DETENTE DIRECTE;Houston 015;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;9;;;Opérationnel;Validé
CLIM CH 202;;CLIMATISATION DETENTE DIRECTE;2F 111;;;;HDCER;Bâtiment Astoria;1 Chemin de la Liberté, 72527 Bordeaux;;;;Opérationnel;Validé
B-6-1 (4P);;CLIMATISATION DETENTE DIRECTE;Houston 031;;;;CIP MPG;Bâtiment Saphir;61 Avenue des Lilas, 42241 Metz;6;;;Opérationnel;Validé
CLIM SERVICE N+3 EDR;;CLIMATISATION DETENTE DIRECTE;EDR 0137;;;;HDCER;Bâtiment Logisphère;1 Chemin de la Liberté, 72527 Bordeaux;3;;;Opérationnel;Validé
